disid	uid	upazilla
48	4806	BAJITPUR
48	4811	BHAIRAB
48	4827	HOSSAINPUR
48	4833	ITNA
48	4842	KARIMGANJ
48	4845	KATIADI
48	4849	KISHOREGANJ SADAR
48	4854	KULIAR CHAR
48	4859	MITHAMAIN
48	4876	NIKLI
48	4879	PAKUNDIA
48	4892	TARAIL
49	4906	BHURUNGAMARI
49	4908	CHAR RAJIBPUR
49	4909	CHILMARI
49	4952	KURIGRAM SADAR
49	4961	NAGESHWARI
49	4918	PHULBARI
49	4977	RAJARHAT
49	4979	RAUMARI
49	4994	ULIPUR
50	5015	BHERAMARA
50	5039	DAULATPUR
50	5063	KHOKSA
50	5071	KUMARKHALI
50	5079	KUSHTIA SADAR
50	5094	MIRPUR
51	UID000008	KAMALNAGAR
51	5143	LAKSHMIPUR SADAR
51	5165	RAMGANJ
51	5173	RAMGATI
51	5158	ROYPUR
52	5202	ADITMARI
52	5233	HATIBANDHA
52	5239	KALIGANJ
52	5255	LALMONIRHAT SADAR
52	5270	PATGRAM
54	5440	KALKINI
54	5454	MADARIPUR SADAR
54	5480	RAJOIR
54	5487	SHIB CHAR
55	5557	MAGURA SADAR
55	5566	MOHAMMADPUR
55	5585	SHALIKHA
55	5595	SREEPUR
56	5610	DAULATPUR
56	5622	GHIOR
56	5628	HARIRAMPUR
56	5646	MANIKGANJ SADAR
56	5670	SATURIA
56	5678	SHIBALAYA
56	5682	SINGAIR
57	5747	GANGNI
57	5787	MEHERPUR SADAR
58	5814	BARLEKHA
58	5856	KAMALGANJ
58	5865	KULAURA
58	5874	MAULVI BAZAR SADAR
58	5880	RAJNAGAR
58	5883	SREEMANGAL
59	5924	GAZARIA
59	5944	LOHAJANG
59	5956	MUNSHIGANJ SADAR
59	5974	SERAJDIKHAN
59	5984	SREENAGAR
59	5994	TONGIBARI
6	602	AGAILJHARA
6	603	BABUGANJ
6	607	BAKERGANJ
6	610	BANARI PARA
6	651	BARISAL SADAR (KOTWALI)
6	632	GAURNADI
6	636	HIZLA
6	662	MEHENDIGANJ
6	669	MULADI
6	694	WAZIRPUR
61	6113	BHALUKA
61	6116	DHOBAURA
61	6120	FULBARIA
61	6122	GAFFARGAON
61	6123	GAURIPUR
61	6124	HALUAGHAT
61	6131	ISHWARGANJ
61	6165	MUKTAGACHHA
61	6152	MYMENSINGH SADAR
61	6172	NANDAIL
61	6181	PHULPUR
61	UID000039	TARAKANDA
61	6194	TRISHAL
64	6403	ATRAI
64	6406	BADALGACHHI
64	6428	DHAMOIRHAT
64	6450	MAHADEBPUR
64	6447	MANDA
64	6460	NAOGAON SADAR
64	6469	NIAMATPUR
64	6475	PATNITALA
64	6479	PORSHA
64	6485	RANINAGAR
64	6486	SAPAHAR
65	6528	KALIA
65	6552	LOHAGARA
65	6576	NARAIL SADAR
67	6702	ARAIHAZAR
67	6706	BANDAR
67	6758	NARAYANGANJ SADAR
67	6768	RUPGANJ
67	6704	SONARGAON
68	6807	BELABO
68	6852	MANOHARDI
68	6860	NARSINGDI SADAR
68	6863	PALASH
68	6864	ROYPURA
68	6876	SHIBPUR
69	6909	BAGATI PARA
69	6915	BARAIGRAM
69	6941	GURUDASPUR
69	6944	LALPUR
69	6963	NATORE SADAR
69	UID000033	NOLDANGA
69	6991	SINGRA
70	7018	BHOLAHAT
70	7037	GOMASTAPUR
70	7056	NACHOLE
70	7066	NAWABGANJ SADAR
70	7088	SHIBGANJ
72	7204	ATPARA
72	7209	BARHATTA
72	7218	DURGAPUR
72	7240	KALMAKANDA
72	7247	KENDUA
72	7238	KHALIAJURI
72	7256	MADAN
72	7263	MOHANGANJ
72	7274	NETROKONA SADAR
72	7283	PURBADHALA
73	7312	DIMLA
73	7315	DOMAR
73	7336	JALDHAKA
73	7345	KISHOREGANJ
73	7364	NILPHAMARI SADAR
73	7385	SAIDPUR
75	7507	BEGUMGANJ
75	7510	CHATKHIL
75	7521	COMPANIGANJ
75	UID000005	DHARMAPUR
75	7536	HATIYA
75	UID000002	Kabirhat
75	UID000006	NOAKHALI
75	7587	NOAKHALI SADAR (SUDHARAM)
75	7580	SENBAGH
75	UID000024	SONAPUR
75	UID000025	SUBARNACHOR
75	UID000004	Sunaimuri
76	7605	ATGHARIA
76	7616	BERA
76	7619	BHANGURA
76	7622	CHATMOHAR
76	7633	FARIDPUR
76	7639	ISHWARDI
76	7655	PABNA SADAR
76	7672	SANTHIA
76	7683	SUJANAGAR
77	7704	ATWARI
77	7725	BODA
77	7734	DEBIGANJ
77	7773	PANCHAGARH SADAR
77	7790	TENTULIA
78	7838	BAUPHAL
78	7852	DASHMINA
78	7857	GALACHIPA
78	7866	KALA PARA
78	7876	MIRZAGANJ
78	7895	PATUAKHALI SADAR
78	UID000010	RANGABALI
79	7914	BHANDARIA
79	7947	KAWKHALI
79	7958	MATHBARIA
79	7976	NAZIRPUR
79	7987	NESARABAD (SWARUPKATI)
79	7980	PIROJPUR SADAR
79	UID000011	ZIANAGAR
81	8110	BAGHA
81	8112	BAGHMARA
81	8122	BOALIA
81	8125	CHARGHAT
81	8131	DURGAPUR
81	8134	GODAGARI
81	8153	MOHANPUR
81	8140	MOTIHAR
81	8172	PABA
81	8182	PUTHIA
81	8185	RAJPARA
81	8190	SHAH MOKHDUM
81	8194	TANORE
82	8207	BALIA KANDI
82	8229	GOALANDAGHAT
82	UID000040	KALUKHALI
82	8273	PANGSHA
82	8276	RAJBARI SADAR
84	8407	BAGHAI CHHARI
84	8421	BARKAL
84	8429	BELAI CHHARI
84	8447	JURAI CHHARI
84	8436	KAPTAI
84	8425	KAWKHALI (BETBUNIA)
84	8458	LANGADU
84	8475	NANNER CHAR
84	8478	RAJASTHALI
84	8487	RANGAMATI SADAR
85	8503	BADARGANJ
85	8527	GANGACHARA
85	8542	KAUNIA
85	8558	MITHA PUKUR
85	8573	PIRGACHHA
85	8576	PIRGANJ
85	8549	RANGPUR SADAR
85	8592	TARAGANJ
86	8614	BHEDARGANJ
86	8625	DAMUDYA
